0,1,2,3,4,5,6,7,8,9,10,11,12,13
SOROCHAN,RAJABIU,OLG,PIAC,SPEAKER,WOOHEAD,SPEAKER,SILEC,NALLY,TURGEON,COMMSSIONER,SILEC,CBB,ELLIS
CBC,BOWLER,CHAIPERSON,CPP,RUBINSTEIN,WSP,CTS,PRICE,COMMSSIONER,CTRC,PIAC,MDU,MTS,BROUILLETTE
REPORTERS,NWT,ADILI,UNICEF,FENSKE,CRANDALL,BISSONNETTE,PRESIDENT,PIAC,COMMISSIONSER,CAMICO,AMBROSONE,BRAGG,PIAC
ICT,BDC,MTS,KHOO,ISP,ABC,GAUVIN,ECG,ERN,AUDET,NASA,DFS,TAIRE,TACIT
KNET,QINIQ,DINESEN,SOKOLOV,COMMISSIONER,REPORTERS,DANIELS,ISP,TUSK,PETAWABANO,ODSP,JOHNSON,ISP,ISP
NGA,SHEPHERD,FSS,SPEAKER,GPS,HSA,VCO,COMMISSIONER,IPTV,COMMISSIONER,REPORTERS,MTS,COMMISSIONER,COMMISSIONER
INAC,CFO,TAIRE,TAIRE,BCN,SPO,ISP,HANDA,RESPONSE,REPORTERS,CANADA,CFO,TELE,CIPPIC
CISCO,PROCTOR,ISP,MEMBER,REPORTERS,WOODHEAD,COMMISSIONER,FIORINI,MTS,DSL,TDM,TAKAHASHI,ADISQ,RFI
MIOLNAR,TAIRE,COMMISSIONER,COMMISSIONER,FESKE,MTBF,VRS,SME,MRI,CPAC,URL,TAIRE,REPORTERS,OACD
NSIF,ISP,PRUDHAM,VRS,SCM,RAJABIUN,EWOC,EDWARDS,CMEC,ACC,VOIP,ISP,SECR,CBC
ABRAMSON,COMMISSIONER,BECK,CRC,LOUIE,CHRIS,DVD,CNOC,ISP,COMMISIONNER,UNDERTAKING,COMMISSIONER,NCF,REPORTERS
MTL,RFI,COMMISISONER,CBC,LAMP,UNDERTAKING,CBC,NTR,COMMISSIONER,TELUS,MDA,LUSSIER,DSL,MCC
UNDERTAKING,CSU,GPS,ROCHON,EORN,COMMMISSIONER,FTTH,DSL,VRS,MOSES,MOLNAR,NAS,FTTN,NCF
